
Socket infor:[Socket0_TA]-->HHA0;,,,,,,,,,,,
cmd_count,llc_inquery,snoop_llc,llc_dir_hit,ddr_rd,ddr_wr,outer_op,ddr_data_rd,ddr_data_wr,backinvalid,cache_dir_hit,ddr_dir_hit
427,408,248,244,1076,265,358,0,201,936,118,1072
74,371,308,96,871,60,362,0,51,855,8,869
53,396,361,86,928,47,394,0,55,922,5,927
1659,1914,814,1522,5369,1451,1814,0,358,5012,122,5202
54,272,229,45,615,49,270,0,62,612,2,615
1362,1927,715,1147,4959,1201,1847,0,279,4611,89,4748
49,342,306,56,762,44,340,0,58,757,3,762
23,260,237,27,571,25,259,0,50,576,2,580
194,286,260,32,802,184,282,0,197,793,3,796
Socket infor:[Socket0_TA]-->HHA1;,,,,,,,,,,,
cmd_count,llc_inquery,snoop_llc,llc_dir_hit,ddr_rd,ddr_wr,outer_op,ddr_data_rd,ddr_data_wr,backinvalid,cache_dir_hit,ddr_dir_hit
90,291,280,76,707,78,286,0,25,693,8,707
44,324,322,24,701,33,319,0,20,689,5,701
36,369,366,31,786,30,366,0,27,780,4,786
1524,1901,883,1373,5131,1314,1786,0,339,4832,113,5024
41,235,226,25,512,29,230,0,13,502,8,512
1299,1834,712,1110,4600,1115,1723,0,252,4335,98,4518
27,345,344,28,723,23,344,0,28,718,3,723
11,249,252,10,522,11,249,0,17,521,0,522
19,252,255,19,539,18,252,0,16,537,0,539
Socket infor:[Socket0_TB]-->HHA0;,,,,,,,,,,,
cmd_count,llc_inquery,snoop_llc,llc_dir_hit,ddr_rd,ddr_wr,outer_op,ddr_data_rd,ddr_data_wr,backinvalid,cache_dir_hit,ddr_dir_hit
76,42,3,54,131,58,32,0,17,106,8,131
4,16,16,6,50,4,16,0,1,50,0,50
1,17,15,2,37,0,16,0,2,37,0,37
660,1360,183,934,2501,637,1338,0,319,2412,4,2445
2,6,6,3,22,2,6,0,1,21,0,22
592,1222,124,767,2220,576,1210,0,272,2144,4,2162
2,22,22,2,60,1,21,0,1,60,0,60
1,11,8,2,27,1,11,0,1,27,0,27
0,10,10,1,17,0,10,0,1,17,0,17
Socket infor:[Socket0_TB]-->HHA1;,,,,,,,,,,,
cmd_count,llc_inquery,snoop_llc,llc_dir_hit,ddr_rd,ddr_wr,outer_op,ddr_data_rd,ddr_data_wr,backinvalid,cache_dir_hit,ddr_dir_hit
65,52,6,54,128,52,46,0,12,103,6,128
4,24,24,3,52,3,23,0,0,51,0,52
1,37,35,1,72,1,37,0,0,72,0,72
585,1445,306,944,2589,567,1430,0,293,2549,3,2576
3,10,11,2,26,3,10,0,0,26,0,26
541,1194,132,773,2143,533,1189,0,265,2100,4,2115
2,66,64,0,149,2,66,0,1,149,0,149
2,25,27,0,55,2,25,0,0,55,0,55
0,16,15,0,25,0,16,0,0,25,0,25
Socket infor:[Socket1_TA]-->HHA0;,,,,,,,,,,,
cmd_count,llc_inquery,snoop_llc,llc_dir_hit,ddr_rd,ddr_wr,outer_op,ddr_data_rd,ddr_data_wr,backinvalid,cache_dir_hit,ddr_dir_hit
9,7,39,18,52,9,7,0,0,52,0,52
1,6,10,5,22,1,6,0,0,22,0,22
0,46,51,5,114,0,46,0,0,114,0,114
155,211,481,175,747,152,208,0,19,728,1,739
1,45,57,9,95,1,45,0,16,95,0,95
27,100,239,105,351,23,97,0,0,346,2,351
21,44,69,2,171,19,43,0,0,164,1,171
0,13,18,3,39,0,13,0,0,39,0,39
0,11,16,4,30,0,11,0,0,30,0,30
Socket infor:[Socket1_TA]-->HHA1;,,,,,,,,,,,
